logical_path,current_git,01-NUR-INTEGRATION-20260722,02-NUR-WT-BACKEND,03-NUR-G10-G15,04-NUR-FABLE-ROOT,05-NUR-FABLE-CONTROL-MATRIX,06-NUR-LIVE-TALK-PROOF,07-NUR-DEMO-TALK-FIXED,08-NUR-DEMO-COUSIN,09-NUR-OLDER-LOCAL,10-NUR-DOWNLOADS-SOURCE,n_snapshots,n_distinct_versions,verdict
apps/api/app/api/v1/community.py,dbb9de8c7732,dbb9de8c7732,27047d26a881,dbb9de8c7732,27047d26a881,dbb9de8c7732,dbb9de8c7732,dbb9de8c7732,27047d26a881,-,-,8,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/api/v1/community_moderation.py,bbeaaaf67115,bbeaaaf67115,-,bbeaaaf67115,-,bbeaaaf67115,bbeaaaf67115,bbeaaaf67115,-,-,-,5,1,IDENTICAL_EVERYWHERE
apps/api/app/api/v1/community_social.py,01bd79e07da4,01bd79e07da4,-,01bd79e07da4,-,01bd79e07da4,01bd79e07da4,01bd79e07da4,-,-,-,5,1,IDENTICAL_EVERYWHERE
apps/api/app/api/v1/consultations.py,773e12a90950,773e12a90950,5929ce198016,773e12a90950,5929ce198016,773e12a90950,773e12a90950,773e12a90950,5929ce198016,-,-,8,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/api/v1/feasibility.py,264810e9d036,264810e9d036,264810e9d036,264810e9d036,264810e9d036,264810e9d036,264810e9d036,264810e9d036,264810e9d036,-,-,8,1,IDENTICAL_EVERYWHERE
apps/api/app/api/v1/glow.py,16ecf2e6f090,16ecf2e6f090,b9ef4ad85de3,2a03e22a8cd7,2a03e22a8cd7,16ecf2e6f090,16ecf2e6f090,16ecf2e6f090,16ecf2e6f090,-,-,8,3,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/api/v1/group_research.py,fb55398b551f,fb55398b551f,-,fb55398b551f,-,fb55398b551f,fb55398b551f,fb55398b551f,-,-,-,5,1,IDENTICAL_EVERYWHERE
apps/api/app/api/v1/hypotheses.py,7b351507340d,7b351507340d,7b351507340d,afd989bd1f80,afd989bd1f80,7b351507340d,7b351507340d,7b351507340d,7b351507340d,-,afd989bd1f80,9,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/api/v1/insights.py,2d072ffe9f8e,2d072ffe9f8e,2d072ffe9f8e,31a53ace4a99,31a53ace4a99,2d072ffe9f8e,2d072ffe9f8e,2d072ffe9f8e,2d072ffe9f8e,-,-,8,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/api/v1/living.py,aa3c31cecd94,aa3c31cecd94,e61c7f428fc7,505a708b0199,e61c7f428fc7,aa3c31cecd94,aa3c31cecd94,aa3c31cecd94,aa3c31cecd94,-,-,8,3,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/api/v1/map.py,1cab86bf4a68,1cab86bf4a68,ee480e2e7c9b,1cab86bf4a68,ee480e2e7c9b,1cab86bf4a68,1cab86bf4a68,1cab86bf4a68,1cab86bf4a68,-,-,8,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/api/v1/memory.py,d5813fa78285,d5813fa78285,d5813fa78285,-,-,d5813fa78285,d5813fa78285,d5813fa78285,d5813fa78285,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/api/v1/notifications.py,b8bf6142a742,b8bf6142a742,b8bf6142a742,de9d695bbbe9,de9d695bbbe9,b8bf6142a742,b8bf6142a742,b8bf6142a742,b8bf6142a742,-,-,8,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/api/v1/ops.py,bb9f3cce0f49,bb9f3cce0f49,-,-,-,675a3fbf10b2,675a3fbf10b2,-,-,-,-,3,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/api/v1/orbits.py,3bf3bae43220,3bf3bae43220,3bf3bae43220,3bf3bae43220,3bf3bae43220,3bf3bae43220,3bf3bae43220,3bf3bae43220,3bf3bae43220,-,730ec7a2851a,9,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/api/v1/password_recovery.py,b4cc1548e760,b4cc1548e760,b4cc1548e760,-,-,b4cc1548e760,b4cc1548e760,b4cc1548e760,b4cc1548e760,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/api/v1/product_surfaces.py,3a3543215bd1,3a3543215bd1,3a3543215bd1,3a3543215bd1,3a3543215bd1,3a3543215bd1,3a3543215bd1,3a3543215bd1,3a3543215bd1,-,3a3543215bd1,9,1,IDENTICAL_EVERYWHERE
apps/api/app/api/v1/profile.py,9baf79a20687,9baf79a20687,9baf79a20687,9baf79a20687,9baf79a20687,9baf79a20687,9baf79a20687,9baf79a20687,9baf79a20687,-,476b6f646e75,9,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/api/v1/projects.py,e18543eab11d,e18543eab11d,ed45e3febf11,ed45e3febf11,ed45e3febf11,cccd8099b577,cccd8099b577,ed45e3febf11,ed45e3febf11,-,-,8,3,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/api/v1/timeline.py,71dc9a84c60b,71dc9a84c60b,71dc9a84c60b,eb91019b6f00,eb91019b6f00,71dc9a84c60b,71dc9a84c60b,71dc9a84c60b,71dc9a84c60b,-,-,8,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/api/v1/translations.py,f9ad090217d9,f9ad090217d9,8c1bd289c293,f9ad090217d9,8c1bd289c293,f9ad090217d9,f9ad090217d9,f9ad090217d9,f9ad090217d9,-,-,8,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/api/v1/universe.py,02f40fde6a62,02f40fde6a62,d788e22cdfce,02f40fde6a62,d788e22cdfce,02f40fde6a62,02f40fde6a62,02f40fde6a62,02f40fde6a62,-,2525bb985b69,9,3,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/billing/__init__.py,f24c6ec4a607,f24c6ec4a607,f24c6ec4a607,-,-,f24c6ec4a607,f24c6ec4a607,f24c6ec4a607,f24c6ec4a607,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/billing/entitlements.py,eb05a60099d5,eb05a60099d5,eb05a60099d5,-,-,eb05a60099d5,eb05a60099d5,eb05a60099d5,eb05a60099d5,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/billing/providers.py,226265cec82f,226265cec82f,226265cec82f,-,-,226265cec82f,226265cec82f,226265cec82f,226265cec82f,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/billing/routes.py,456768b959be,456768b959be,456768b959be,-,-,456768b959be,456768b959be,456768b959be,456768b959be,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/billing/schemas.py,ccaea524f06a,ccaea524f06a,ccaea524f06a,-,-,ccaea524f06a,ccaea524f06a,ccaea524f06a,ccaea524f06a,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/billing/service.py,3fb47269428d,3fb47269428d,3fb47269428d,-,-,3fb47269428d,3fb47269428d,3fb47269428d,3fb47269428d,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/cognition/__init__.py,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,-,e3b0c44298fc,9,1,IDENTICAL_EVERYWHERE
apps/api/app/cognition/correction_service.py,5b673223f159,5b673223f159,5b673223f159,5b673223f159,5b673223f159,5b673223f159,5b673223f159,5b673223f159,5b673223f159,-,5b673223f159,9,1,IDENTICAL_EVERYWHERE
apps/api/app/cognition/cycle.py,eddcaf87ae8b,eddcaf87ae8b,eddcaf87ae8b,eddcaf87ae8b,eddcaf87ae8b,eddcaf87ae8b,eddcaf87ae8b,eddcaf87ae8b,eddcaf87ae8b,-,eddcaf87ae8b,9,1,IDENTICAL_EVERYWHERE
apps/api/app/cognition/evaluation_service.py,0f71b8e6db1c,0f71b8e6db1c,0f71b8e6db1c,0f71b8e6db1c,0f71b8e6db1c,0f71b8e6db1c,0f71b8e6db1c,0f71b8e6db1c,0f71b8e6db1c,-,0f71b8e6db1c,9,1,IDENTICAL_EVERYWHERE
apps/api/app/cognition/evidence_packet.py,17d561bfce88,17d561bfce88,17d561bfce88,17d561bfce88,17d561bfce88,17d561bfce88,17d561bfce88,17d561bfce88,17d561bfce88,-,17d561bfce88,9,1,IDENTICAL_EVERYWHERE
apps/api/app/cognition/hybrid_retrieval.py,123f03adc09f,123f03adc09f,123f03adc09f,123f03adc09f,123f03adc09f,123f03adc09f,123f03adc09f,123f03adc09f,123f03adc09f,-,123f03adc09f,9,1,IDENTICAL_EVERYWHERE
apps/api/app/cognition/intelligence_kernel.py,43c7ead8360c,43c7ead8360c,43c7ead8360c,ebf1dbe1c376,ebf1dbe1c376,43c7ead8360c,43c7ead8360c,43c7ead8360c,43c7ead8360c,-,fb1e0163e90f,9,3,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/cognition/memory_candidate_service.py,69c0dbed6721,69c0dbed6721,69c0dbed6721,6639c4d1d756,6639c4d1d756,69c0dbed6721,69c0dbed6721,69c0dbed6721,69c0dbed6721,-,6639c4d1d756,9,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/cognition/memory_service.py,e97b7e0eb407,e97b7e0eb407,e97b7e0eb407,004f2778a1ec,004f2778a1ec,e97b7e0eb407,e97b7e0eb407,e97b7e0eb407,e97b7e0eb407,-,004f2778a1ec,9,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/cognition/model_gateway.py,282eb8be9fa4,282eb8be9fa4,282eb8be9fa4,282eb8be9fa4,282eb8be9fa4,282eb8be9fa4,282eb8be9fa4,282eb8be9fa4,282eb8be9fa4,-,282eb8be9fa4,9,1,IDENTICAL_EVERYWHERE
apps/api/app/cognition/personal_memory_service.py,07249a5855d5,07249a5855d5,07249a5855d5,-,-,07249a5855d5,07249a5855d5,07249a5855d5,07249a5855d5,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/cognition/prediction_service.py,13cdec7275db,13cdec7275db,13cdec7275db,13cdec7275db,13cdec7275db,13cdec7275db,13cdec7275db,13cdec7275db,13cdec7275db,-,13cdec7275db,9,1,IDENTICAL_EVERYWHERE
apps/api/app/cognition/provenance.py,5a6976b37f36,5a6976b37f36,5a6976b37f36,5a6976b37f36,5a6976b37f36,5a6976b37f36,5a6976b37f36,5a6976b37f36,5a6976b37f36,-,5a6976b37f36,9,1,IDENTICAL_EVERYWHERE
apps/api/app/cognition/response_composer.py,e5e962296b0a,e5e962296b0a,e5e962296b0a,e5e962296b0a,e5e962296b0a,e5e962296b0a,e5e962296b0a,e5e962296b0a,e5e962296b0a,-,e5e962296b0a,9,1,IDENTICAL_EVERYWHERE
apps/api/app/cognition/retrieval_policy.py,8a474a8b723c,8a474a8b723c,8a474a8b723c,8a474a8b723c,8a474a8b723c,8a474a8b723c,8a474a8b723c,8a474a8b723c,8a474a8b723c,-,8a474a8b723c,9,1,IDENTICAL_EVERYWHERE
apps/api/app/cognition/schemas.py,8c2225e163c9,8c2225e163c9,8c2225e163c9,8c2225e163c9,8c2225e163c9,8c2225e163c9,8c2225e163c9,8c2225e163c9,8c2225e163c9,-,5cc344135bc7,9,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/cognition/streaming.py,92e56b84304b,92e56b84304b,92e56b84304b,7c8dd88c3c1a,7c8dd88c3c1a,92e56b84304b,92e56b84304b,92e56b84304b,92e56b84304b,-,-,8,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/cognition/task_router.py,6ee7bbbe7608,6ee7bbbe7608,6ee7bbbe7608,6ee7bbbe7608,6ee7bbbe7608,6ee7bbbe7608,6ee7bbbe7608,6ee7bbbe7608,6ee7bbbe7608,-,6ee7bbbe7608,9,1,IDENTICAL_EVERYWHERE
apps/api/app/cognition/verifier.py,91a331f94d1e,91a331f94d1e,91a331f94d1e,ede12043220a,ede12043220a,91a331f94d1e,91a331f94d1e,91a331f94d1e,91a331f94d1e,-,ede12043220a,9,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/community/__init__.py,1de9f55b52e9,1de9f55b52e9,-,1de9f55b52e9,-,1de9f55b52e9,1de9f55b52e9,1de9f55b52e9,-,-,-,5,1,IDENTICAL_EVERYWHERE
apps/api/app/community/access.py,85714be13ec2,85714be13ec2,-,85714be13ec2,-,85714be13ec2,85714be13ec2,85714be13ec2,-,-,-,5,1,IDENTICAL_EVERYWHERE
apps/api/app/core/__init__.py,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,-,e3b0c44298fc,9,1,IDENTICAL_EVERYWHERE
apps/api/app/core/config.py,2c3927fa64ea,2c3927fa64ea,90e04eccee57,0486d6521fd5,0486d6521fd5,7b67a3cd6fa0,7b67a3cd6fa0,90e04eccee57,90e04eccee57,-,0486d6521fd5,9,4,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/core/logging.py,01aea0434667,01aea0434667,01aea0434667,1f1b134d1082,1f1b134d1082,01aea0434667,01aea0434667,01aea0434667,01aea0434667,-,1f1b134d1082,9,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/core/security.py,0febba0bba55,0febba0bba55,0febba0bba55,9f2a87d821c0,9f2a87d821c0,0febba0bba55,0febba0bba55,0febba0bba55,0febba0bba55,-,9f2a87d821c0,9,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/db/__init__.py,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,-,e3b0c44298fc,9,1,IDENTICAL_EVERYWHERE
apps/api/app/db/base.py,987edfd9dfe3,987edfd9dfe3,987edfd9dfe3,987edfd9dfe3,987edfd9dfe3,987edfd9dfe3,987edfd9dfe3,987edfd9dfe3,987edfd9dfe3,-,987edfd9dfe3,9,1,IDENTICAL_EVERYWHERE
apps/api/app/db/rls.py,f74abf9bd40f,f74abf9bd40f,f74abf9bd40f,f74abf9bd40f,f74abf9bd40f,f74abf9bd40f,f74abf9bd40f,f74abf9bd40f,f74abf9bd40f,-,f74abf9bd40f,9,1,IDENTICAL_EVERYWHERE
apps/api/app/db/seed.py,7df3df7a10d0,7df3df7a10d0,7df3df7a10d0,7df3df7a10d0,7df3df7a10d0,7df3df7a10d0,7df3df7a10d0,7df3df7a10d0,7df3df7a10d0,-,7df3df7a10d0,9,1,IDENTICAL_EVERYWHERE
apps/api/app/db/session.py,2390a769abef,2390a769abef,51a35542dc7f,51a35542dc7f,51a35542dc7f,51a35542dc7f,51a35542dc7f,51a35542dc7f,51a35542dc7f,-,51a35542dc7f,9,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/i18n/__init__.py,3945cd7cffcd,3945cd7cffcd,-,3945cd7cffcd,-,3945cd7cffcd,3945cd7cffcd,3945cd7cffcd,3945cd7cffcd,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/i18n/catalog.py,cc6e8da43825,cc6e8da43825,-,cc6e8da43825,-,cc6e8da43825,cc6e8da43825,cc6e8da43825,cc6e8da43825,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/i18n/provider.py,484c2ef25af5,484c2ef25af5,-,484c2ef25af5,-,484c2ef25af5,484c2ef25af5,484c2ef25af5,484c2ef25af5,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/intelligence/__init__.py,540aa50b614a,540aa50b614a,540aa50b614a,-,-,540aa50b614a,540aa50b614a,540aa50b614a,540aa50b614a,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/intelligence/evaluation.py,6cf8c647d7fa,6cf8c647d7fa,6cf8c647d7fa,-,-,6cf8c647d7fa,6cf8c647d7fa,6cf8c647d7fa,6cf8c647d7fa,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/intelligence/routes.py,9acbb3151756,9acbb3151756,9acbb3151756,-,-,9acbb3151756,9acbb3151756,9acbb3151756,9acbb3151756,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/intelligence/schemas.py,2f8a2bc49d6b,2f8a2bc49d6b,2f8a2bc49d6b,-,-,2f8a2bc49d6b,2f8a2bc49d6b,2f8a2bc49d6b,2f8a2bc49d6b,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/intelligence/service.py,dddd5dd1d359,dddd5dd1d359,dddd5dd1d359,-,-,dddd5dd1d359,dddd5dd1d359,dddd5dd1d359,dddd5dd1d359,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/learning/__init__.py,88f644c5d684,88f644c5d684,88f644c5d684,-,-,88f644c5d684,88f644c5d684,88f644c5d684,88f644c5d684,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/learning/routes.py,f873c3209604,f873c3209604,f873c3209604,-,-,f873c3209604,f873c3209604,f873c3209604,f873c3209604,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/learning/safety.py,dd88d88f2413,dd88d88f2413,dd88d88f2413,-,-,dd88d88f2413,dd88d88f2413,dd88d88f2413,dd88d88f2413,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/learning/schemas.py,9e237de2f4f8,9e237de2f4f8,9e237de2f4f8,-,-,9e237de2f4f8,9e237de2f4f8,9e237de2f4f8,9e237de2f4f8,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/learning/service.py,54929d797228,54929d797228,54929d797228,-,-,54929d797228,54929d797228,54929d797228,54929d797228,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/living/__init__.py,f1ff61716834,f1ff61716834,f1ff61716834,f1ff61716834,f1ff61716834,f1ff61716834,f1ff61716834,f1ff61716834,f1ff61716834,-,-,8,1,IDENTICAL_EVERYWHERE
apps/api/app/living/catalog.py,231bf5d3d4a0,231bf5d3d4a0,231bf5d3d4a0,231bf5d3d4a0,231bf5d3d4a0,231bf5d3d4a0,231bf5d3d4a0,231bf5d3d4a0,231bf5d3d4a0,-,-,8,1,IDENTICAL_EVERYWHERE
apps/api/app/living/service.py,22797af1fe47,22797af1fe47,f8a31d8bd9d4,22797af1fe47,f8a31d8bd9d4,22797af1fe47,22797af1fe47,22797af1fe47,22797af1fe47,-,-,8,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/main.py,a5e3444f50c8,a5e3444f50c8,9db7962c3fd5,6d5119193e3a,33dc3395ac33,3f230356d0dc,3f230356d0dc,ff89c6593de9,9db7962c3fd5,-,506429293012,9,7,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/models/__init__.py,0d54acef2177,0d54acef2177,aa52653ee84d,74805aba94ca,98d6dc436c00,0d54acef2177,0d54acef2177,f6cc498c471a,aa52653ee84d,-,922c45bdc75e,9,6,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/models/_mixins.py,5ea6f8b1a485,5ea6f8b1a485,5ea6f8b1a485,5ea6f8b1a485,5ea6f8b1a485,5ea6f8b1a485,5ea6f8b1a485,5ea6f8b1a485,5ea6f8b1a485,-,5ea6f8b1a485,9,1,IDENTICAL_EVERYWHERE
apps/api/app/models/audit.py,377d0336b5e1,377d0336b5e1,377d0336b5e1,377d0336b5e1,377d0336b5e1,377d0336b5e1,377d0336b5e1,377d0336b5e1,377d0336b5e1,-,377d0336b5e1,9,1,IDENTICAL_EVERYWHERE
apps/api/app/models/billing.py,706f31ce30c2,706f31ce30c2,706f31ce30c2,-,-,706f31ce30c2,706f31ce30c2,706f31ce30c2,706f31ce30c2,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/models/cognition.py,8e4a852dde23,8e4a852dde23,8e4a852dde23,0f611dc4809b,0f611dc4809b,8e4a852dde23,8e4a852dde23,8e4a852dde23,8e4a852dde23,-,0d2a9f2fd9bb,9,3,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/models/community.py,51d4aa1e1d98,51d4aa1e1d98,3ef4d5fb738d,51d4aa1e1d98,3ef4d5fb738d,51d4aa1e1d98,51d4aa1e1d98,51d4aa1e1d98,3ef4d5fb738d,-,-,8,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/models/community_social.py,2655ddf548bb,2655ddf548bb,-,2655ddf548bb,-,2655ddf548bb,2655ddf548bb,2655ddf548bb,-,-,-,5,1,IDENTICAL_EVERYWHERE
apps/api/app/models/consent.py,8ec6310ff7b3,8ec6310ff7b3,8ec6310ff7b3,8ec6310ff7b3,8ec6310ff7b3,8ec6310ff7b3,8ec6310ff7b3,8ec6310ff7b3,8ec6310ff7b3,-,8ec6310ff7b3,9,1,IDENTICAL_EVERYWHERE
apps/api/app/models/engagement.py,80c3239638de,80c3239638de,c738a707ff87,2890d9b9a42e,d9c15e3c2e41,80c3239638de,80c3239638de,80c3239638de,80c3239638de,-,-,8,4,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/models/events.py,87eb9c6644e6,87eb9c6644e6,87eb9c6644e6,-,-,87eb9c6644e6,87eb9c6644e6,87eb9c6644e6,87eb9c6644e6,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/models/group_research.py,503eac4bbd30,503eac4bbd30,-,503eac4bbd30,-,503eac4bbd30,503eac4bbd30,503eac4bbd30,-,-,-,5,1,IDENTICAL_EVERYWHERE
apps/api/app/models/intelligence.py,8c9c7b7368a4,8c9c7b7368a4,8c9c7b7368a4,8c9c7b7368a4,8c9c7b7368a4,8c9c7b7368a4,8c9c7b7368a4,8c9c7b7368a4,8c9c7b7368a4,-,-,8,1,IDENTICAL_EVERYWHERE
apps/api/app/models/learning.py,fba855d910db,fba855d910db,fba855d910db,-,-,fba855d910db,fba855d910db,fba855d910db,fba855d910db,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/models/living.py,5093bc8d4476,5093bc8d4476,5093bc8d4476,0b93d0246cee,0b93d0246cee,5093bc8d4476,5093bc8d4476,5093bc8d4476,5093bc8d4476,-,-,8,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/models/memory.py,415a84ab0fbe,415a84ab0fbe,415a84ab0fbe,-,-,415a84ab0fbe,415a84ab0fbe,415a84ab0fbe,415a84ab0fbe,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/models/omega.py,335b07e3dfa4,335b07e3dfa4,335b07e3dfa4,335b07e3dfa4,335b07e3dfa4,335b07e3dfa4,335b07e3dfa4,335b07e3dfa4,335b07e3dfa4,-,335b07e3dfa4,9,1,IDENTICAL_EVERYWHERE
apps/api/app/models/orbit.py,9cb705325862,9cb705325862,9cb705325862,9cb705325862,9cb705325862,9cb705325862,9cb705325862,9cb705325862,9cb705325862,-,fe3c9eab592f,9,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/models/password_recovery.py,78e60b28ae17,78e60b28ae17,78e60b28ae17,-,-,78e60b28ae17,78e60b28ae17,78e60b28ae17,78e60b28ae17,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/app/models/product.py,cb6da6e70201,cb6da6e70201,cb6da6e70201,cb6da6e70201,cb6da6e70201,cb6da6e70201,cb6da6e70201,cb6da6e70201,cb6da6e70201,-,cb6da6e70201,9,1,IDENTICAL_EVERYWHERE
apps/api/app/models/profile.py,9567444a495d,9567444a495d,9567444a495d,9567444a495d,9567444a495d,9567444a495d,9567444a495d,9567444a495d,9567444a495d,-,9567444a495d,9,1,IDENTICAL_EVERYWHERE
apps/api/app/models/projects.py,7882e21afe54,7882e21afe54,723d661e4626,723d661e4626,723d661e4626,7882e21afe54,7882e21afe54,723d661e4626,723d661e4626,-,-,8,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/models/session.py,9e864b6c3e29,9e864b6c3e29,9e864b6c3e29,9e864b6c3e29,9e864b6c3e29,9e864b6c3e29,9e864b6c3e29,9e864b6c3e29,9e864b6c3e29,-,9e864b6c3e29,9,1,IDENTICAL_EVERYWHERE
apps/api/app/models/sharing.py,68f3ef7fbc50,68f3ef7fbc50,68f3ef7fbc50,68f3ef7fbc50,68f3ef7fbc50,68f3ef7fbc50,68f3ef7fbc50,68f3ef7fbc50,68f3ef7fbc50,-,68f3ef7fbc50,9,1,IDENTICAL_EVERYWHERE
apps/api/app/models/user.py,f7931804907c,f7931804907c,f7931804907c,f7931804907c,f7931804907c,f7931804907c,f7931804907c,f7931804907c,f7931804907c,-,f7931804907c,9,1,IDENTICAL_EVERYWHERE
apps/api/app/observability/__init__.py,dfda7264d3b6,dfda7264d3b6,dfda7264d3b6,dfda7264d3b6,dfda7264d3b6,dfda7264d3b6,dfda7264d3b6,dfda7264d3b6,dfda7264d3b6,-,dfda7264d3b6,9,1,IDENTICAL_EVERYWHERE
apps/api/app/observability/metrics.py,e81f96a934b7,e81f96a934b7,e81f96a934b7,e81f96a934b7,e81f96a934b7,e81f96a934b7,e81f96a934b7,e81f96a934b7,e81f96a934b7,-,e81f96a934b7,9,1,IDENTICAL_EVERYWHERE
apps/api/app/omega/__init__.py,596ff1ecd2a5,596ff1ecd2a5,596ff1ecd2a5,596ff1ecd2a5,596ff1ecd2a5,596ff1ecd2a5,596ff1ecd2a5,596ff1ecd2a5,596ff1ecd2a5,-,596ff1ecd2a5,9,1,IDENTICAL_EVERYWHERE
apps/api/app/omega/claim_service.py,1b12a863e5e1,1b12a863e5e1,1b12a863e5e1,1b12a863e5e1,1b12a863e5e1,1b12a863e5e1,1b12a863e5e1,1b12a863e5e1,1b12a863e5e1,-,1b12a863e5e1,9,1,IDENTICAL_EVERYWHERE
apps/api/app/omega/confirmation_policy.py,8ca10e3520ea,8ca10e3520ea,8ca10e3520ea,8ca10e3520ea,8ca10e3520ea,8ca10e3520ea,8ca10e3520ea,8ca10e3520ea,8ca10e3520ea,-,8ca10e3520ea,9,1,IDENTICAL_EVERYWHERE
apps/api/app/omega/consolidation_service.py,0e19e073df36,0e19e073df36,0e19e073df36,0e19e073df36,0e19e073df36,0e19e073df36,0e19e073df36,0e19e073df36,0e19e073df36,-,0e19e073df36,9,1,IDENTICAL_EVERYWHERE
apps/api/app/omega/contradiction_service.py,faa51ca5f9c9,faa51ca5f9c9,faa51ca5f9c9,faa51ca5f9c9,faa51ca5f9c9,faa51ca5f9c9,faa51ca5f9c9,faa51ca5f9c9,faa51ca5f9c9,-,faa51ca5f9c9,9,1,IDENTICAL_EVERYWHERE
apps/api/app/omega/due_owner_service.py,c956ace5a66a,c956ace5a66a,c956ace5a66a,c956ace5a66a,c956ace5a66a,c956ace5a66a,c956ace5a66a,c956ace5a66a,c956ace5a66a,-,c956ace5a66a,9,1,IDENTICAL_EVERYWHERE
apps/api/app/omega/evaluation_cases_runner.py,dc59b3b08884,dc59b3b08884,dc59b3b08884,dc59b3b08884,dc59b3b08884,dc59b3b08884,dc59b3b08884,dc59b3b08884,dc59b3b08884,-,dc59b3b08884,9,1,IDENTICAL_EVERYWHERE
apps/api/app/omega/evaluators.py,ea65efb03087,ea65efb03087,ea65efb03087,ea65efb03087,ea65efb03087,ea65efb03087,ea65efb03087,ea65efb03087,ea65efb03087,-,ea65efb03087,9,1,IDENTICAL_EVERYWHERE
apps/api/app/omega/evidence_graph.py,d95f690ed2e9,d95f690ed2e9,d95f690ed2e9,d95f690ed2e9,d95f690ed2e9,d95f690ed2e9,d95f690ed2e9,d95f690ed2e9,d95f690ed2e9,-,d95f690ed2e9,9,1,IDENTICAL_EVERYWHERE
apps/api/app/omega/experience_service.py,53d8424c2b5f,53d8424c2b5f,53d8424c2b5f,53d8424c2b5f,53d8424c2b5f,53d8424c2b5f,53d8424c2b5f,53d8424c2b5f,53d8424c2b5f,-,53d8424c2b5f,9,1,IDENTICAL_EVERYWHERE
